
                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
             R2021a Update 1 (9.10.0.1649659) 64-bit (glnxa64)
                               April 13, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Datastore creation...
Network creation...
Training...
[Warning: Support for GPU devices with Compute Capability 5.2 will be removed in
a future MATLAB release. For more information on GPU support, see <a
href="matlab:web('http://www.mathworks.com/help/parallel-computing/gpu-support-by-release.html','-browser')">GPU
Support by Release</a>.] 
[> In parallel.internal.gpu.selectDevice
In parallel.gpu/GPUDevice/current (line 44)
In gpuDevice (line 23)
In nnet.internal.cnn.util.isGPUCompatible (line 10)
In nnet.internal.cnn.util.GPUShouldBeUsed>iCheckLocalGPU (line 51)
In nnet.internal.cnn.util.GPUShouldBeUsed>iValidateGPU (line 85)
In nnet.internal.cnn.util.GPUShouldBeUsed (line 34)
In nnet.internal.cnn.assembler.setupExecutionEnvironment (line 32)
In nnet.internal.cnn.trainNetwork.doTrainNetwork (line 22)
In trainNetwork (line 182)
In fullUNet_image_reconstruction (line 181)
In run (line 91)] 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     RMSE     |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       2 |         530 |       01:31:20 |         9.28 |         9.28 |      43.0439 |      43.0722 |          0.1000 |
|       2 |         535 |       01:32:13 |         8.89 |         9.23 |      39.5127 |      42.5826 |          0.1000 |
|       2 |         540 |       01:33:04 |         9.70 |         9.37 |      47.0918 |      43.8750 |          0.1000 |
|       2 |         545 |       01:33:55 |         9.44 |         9.27 |      44.5263 |      42.9926 |          0.1000 |
|       2 |         550 |       01:34:47 |         9.16 |         9.29 |      41.9360 |      43.1235 |          0.1000 |
|       2 |         555 |       01:35:39 |         9.15 |         9.23 |      41.8973 |      42.5535 |          0.1000 |
|       2 |         560 |       01:36:30 |         9.07 |         9.29 |      41.1237 |      43.1829 |          0.1000 |
|       2 |         565 |       01:37:22 |         9.00 |         9.18 |      40.4726 |      42.1581 |          0.1000 |
|       2 |         570 |       01:38:13 |         9.15 |         9.17 |      41.8332 |      42.0128 |          0.1000 |
|       2 |         575 |       01:39:04 |         9.12 |         9.11 |      41.5902 |      41.4746 |          0.1000 |
|       2 |         580 |       01:39:56 |         9.27 |         9.13 |      43.0090 |      41.6721 |          0.1000 |
|       2 |         585 |       01:40:48 |         9.21 |         9.06 |      42.3850 |      41.0384 |          0.1000 |
|       2 |         590 |       01:41:39 |         9.00 |         9.09 |      40.4914 |      41.3065 |          0.1000 |
|       2 |         595 |       01:42:31 |         9.26 |         9.03 |      42.9110 |      40.7871 |          0.1000 |
|       2 |         600 |       01:43:22 |         9.15 |         9.03 |      41.8255 |      40.7273 |          0.1000 |
|       2 |         605 |       01:44:14 |         9.14 |         8.96 |      41.7702 |      40.1123 |          0.1000 |
|       2 |         610 |       01:45:06 |         9.04 |         9.03 |      40.8983 |      40.7287 |          0.1000 |
|       2 |         615 |       01:45:57 |         8.96 |         8.94 |      40.1597 |      39.9222 |          0.1000 |
|       2 |         620 |       01:46:49 |         8.91 |         9.04 |      39.6855 |      40.8771 |          0.1000 |
|       2 |         625 |       01:47:41 |         8.99 |         9.01 |      40.4488 |      40.5675 |          0.1000 |
|       2 |         630 |       01:48:33 |         9.28 |         8.85 |      43.0832 |      39.1320 |          0.1000 |
|       2 |         635 |       01:49:24 |         8.75 |         8.81 |      38.2647 |      38.8331 |          0.1000 |
|       2 |         640 |       01:50:17 |         8.44 |         8.94 |      35.6566 |      39.9228 |          0.1000 |
|       2 |         645 |       01:51:08 |         8.91 |         8.82 |      39.6810 |      38.9381 |          0.1000 |
|       2 |         650 |       01:51:59 |         8.98 |         8.85 |      40.3596 |      39.1876 |          0.1000 |
|       2 |         655 |       01:52:52 |         8.78 |         8.79 |      38.5151 |      38.6336 |          0.1000 |
|       2 |         660 |       01:53:44 |         9.16 |         8.82 |      41.9300 |      38.9254 |          0.1000 |
|       2 |         665 |       01:54:35 |         9.37 |         8.80 |      43.8871 |      38.7589 |          0.1000 |
|       2 |         670 |       01:55:28 |         8.74 |         8.72 |      38.1818 |      38.0185 |          0.1000 |
|       2 |         675 |       01:56:20 |         8.46 |         8.69 |      35.8136 |      37.7307 |          0.1000 |
|       2 |         680 |       01:57:12 |         8.58 |         8.75 |      36.7696 |      38.3083 |          0.1000 |
|       2 |         685 |       01:58:04 |         8.94 |         8.69 |      39.9885 |      37.7830 |          0.1000 |
|       2 |         690 |       01:58:56 |         8.52 |         8.66 |      36.3264 |      37.4973 |          0.1000 |
|       2 |         695 |       01:59:48 |         8.82 |         8.60 |      38.9150 |      36.9565 |          0.1000 |
|       2 |         700 |       02:00:40 |         8.50 |         8.68 |      36.1386 |      37.7076 |          0.1000 |
|       2 |         705 |       02:01:32 |         8.62 |         8.61 |      37.1376 |      37.0261 |          0.1000 |
|       2 |         710 |       02:02:24 |         8.66 |         8.63 |      37.4806 |      37.2035 |          0.1000 |
