
                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
             R2021a Update 1 (9.10.0.1649659) 64-bit (glnxa64)
                               April 13, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Datastore creation...
Network creation...
Training...
[Warning: Support for GPU devices with Compute Capability 5.2 will be removed in
a future MATLAB release. For more information on GPU support, see <a
href="matlab:web('http://www.mathworks.com/help/parallel-computing/gpu-support-by-release.html','-browser')">GPU
Support by Release</a>.] 
[> In parallel.internal.gpu.selectDevice
In parallel.gpu/GPUDevice/current (line 44)
In gpuDevice (line 23)
In nnet.internal.cnn.util.isGPUCompatible (line 10)
In nnet.internal.cnn.util.GPUShouldBeUsed>iCheckLocalGPU (line 51)
In nnet.internal.cnn.util.GPUShouldBeUsed>iValidateGPU (line 85)
In nnet.internal.cnn.util.GPUShouldBeUsed (line 34)
In nnet.internal.cnn.assembler.setupExecutionEnvironment (line 32)
In nnet.internal.cnn.trainNetwork.doTrainNetwork (line 22)
In trainNetwork (line 182)
In fullUNet_image_reconstruction (line 181)
In run (line 91)] 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     RMSE     |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       2 |         505 |       01:23:02 |         6.52 |         6.61 |      21.2753 |      21.8330 |          0.1000 |
|       2 |         510 |       01:23:50 |         6.86 |         6.71 |      23.5389 |      22.5025 |          0.1000 |
|       2 |         515 |       01:24:39 |         6.45 |         6.59 |      20.8318 |      21.7153 |          0.1000 |
|       2 |         520 |       01:25:28 |         6.74 |         6.64 |      22.7036 |      22.0513 |          0.1000 |
|       2 |         525 |       01:26:17 |         6.64 |         6.57 |      22.0654 |      21.5682 |          0.1000 |
|       2 |         530 |       01:27:06 |         6.53 |         6.57 |      21.3401 |      21.5700 |          0.1000 |
|       2 |         535 |       01:27:54 |         6.72 |         6.49 |      22.5500 |      21.0865 |          0.1000 |
|       2 |         540 |       01:28:43 |         6.40 |         6.47 |      20.4818 |      20.9294 |          0.1000 |
|       2 |         545 |       01:29:32 |         6.57 |         6.46 |      21.5501 |      20.8520 |          0.1000 |
|       2 |         550 |       01:30:20 |         6.62 |         6.43 |      21.9091 |      20.6943 |          0.1000 |
|       2 |         555 |       01:31:10 |         6.58 |         6.43 |      21.6162 |      20.6665 |          0.1000 |
|       2 |         560 |       01:31:58 |         6.51 |         6.40 |      21.1581 |      20.5031 |          0.1000 |
|       2 |         565 |       01:32:48 |         6.59 |         6.36 |      21.7314 |      20.2430 |          0.1000 |
|       2 |         570 |       01:33:36 |         6.35 |         6.36 |      20.1720 |      20.2537 |          0.1000 |
|       2 |         575 |       01:34:25 |         6.40 |         6.34 |      20.4799 |      20.1192 |          0.1000 |
|       2 |         580 |       01:35:14 |         6.35 |         6.30 |      20.1594 |      19.8558 |          0.1000 |
|       2 |         585 |       01:36:03 |         6.33 |         6.39 |      20.0147 |      20.3914 |          0.1000 |
|       2 |         590 |       01:36:52 |         6.36 |         6.36 |      20.2139 |      20.2022 |          0.1000 |
|       2 |         595 |       01:37:40 |         6.51 |         6.30 |      21.2059 |      19.8478 |          0.1000 |
|       2 |         600 |       01:38:29 |         6.30 |         6.29 |      19.8260 |      19.7597 |          0.1000 |
|       2 |         605 |       01:39:18 |         6.22 |         6.26 |      19.3457 |      19.6180 |          0.1000 |
|       2 |         610 |       01:40:07 |         6.12 |         6.24 |      18.6987 |      19.4519 |          0.1000 |
|       2 |         615 |       01:40:57 |         6.27 |         6.22 |      19.6551 |      19.3357 |          0.1000 |
|       2 |         620 |       01:41:46 |         6.39 |         6.19 |      20.4369 |      19.1385 |          0.1000 |
|       2 |         625 |       01:42:34 |         6.21 |         6.24 |      19.2732 |      19.4954 |          0.1000 |
|       2 |         630 |       01:43:23 |         6.27 |         6.20 |      19.6352 |      19.2034 |          0.1000 |
|       2 |         635 |       01:44:14 |         6.25 |         6.17 |      19.5381 |      19.0579 |          0.1000 |
|       2 |         640 |       01:45:02 |         6.15 |         6.17 |      18.8845 |      19.0623 |          0.1000 |
|       2 |         645 |       01:45:51 |         5.93 |         6.18 |      17.5915 |      19.0973 |          0.1000 |
|       2 |         650 |       01:46:40 |         6.20 |         6.09 |      19.2092 |      18.5568 |          0.1000 |
|       2 |         655 |       01:47:29 |         6.15 |         6.10 |      18.9316 |      18.6169 |          0.1000 |
|       2 |         660 |       01:48:18 |         6.12 |         6.09 |      18.7313 |      18.5394 |          0.1000 |
|       2 |         665 |       01:49:07 |         6.13 |         6.12 |      18.7863 |      18.7160 |          0.1000 |
|       2 |         670 |       01:49:57 |         6.04 |         6.04 |      18.2447 |      18.2274 |          0.1000 |
|       2 |         675 |       01:50:46 |         6.11 |         6.05 |      18.6361 |      18.3083 |          0.1000 |
|       2 |         680 |       01:51:36 |         6.04 |         6.04 |      18.2572 |      18.2359 |          0.1000 |
|       2 |         685 |       01:52:24 |         6.04 |         6.11 |      18.2122 |      18.6616 |          0.1000 |
